"loc_rowid","kepid","tce_plnt_num","tce_period","tce_time0bk","tce_impact","tce_duration","tce_depth","tce_model_snr","av_training_set"
11503,"07778621",1,7.28169,137.302,0.7762,1.478,111.6,12.94,"PC"
11504,"07778767",1,13.0314,144.111,0.5217,4.312,602.5,18.36,"PC"
11505,"07778767",2,2.61091,133.255,0.1061,1.95,192.9,8.977,"UNK"
11506,"07344999",2,0.706231,131.784,0.9015,1.715,24.86,10.53,"AFP"
11507,"07345248",1,5.6649,136.34,0.8071,4.103,35.86,8.9,"PC"
11508,"07345335",1,11.0496,138.54,0.002258,1.736,116.4,7.236,"UNK"
11509,"07346691",1,0.720917,131.527,0.3632,2.244,111.7,10.97,"UNK"
11510,"07366258",3,5.90224,136.783,0.508,2.87,694.9,50.01,"PC"
11511,"07366258",4,2.38296,132.694,0.4812,2.143,269.7,27.32,"PC"
11512,"07367431",1,1.15211,132.565,0.01248,4,63.74,11.23,"AFP"
11513,"07383764",3,2.45723,132.36,0.9237,6.535,18.07,13.23,"AFP"
11514,"07384711",1,0.651805,132.107,0.9405,1.775,47.14,10.91,"UNK"
11515,"07385073",1,535.386,381.225,0.8617,14.87,108.1,7.255,"UNK"
11516,"07385387",1,1.6554,133.161,0.2207,3.692,114.5,10.7,"AFP"
11517,"07434470",1,1.821,131.609,0.9,5.719,65.52,16.36,"UNK"
11518,"07434875",1,9.43946,139.428,0.1188,2.899,3073,167,"PC"
11519,"07434875",2,20.4819,137.722,0.7918,2.937,236.6,6.146,"PC"
11520,"07434875",3,3.33612,131.982,0.9101,2.295,434.6,36.52,"PC"
11521,"07457355",1,1.26713,132.373,0.9407,3.319,7.261,5.55,"AFP"
11522,"07457355",2,1.2673,132.095,0.5006,1.62,37.9,7.977,"AFP"
11523,"07458050",1,0.651815,132.078,0.02439,2.463,14.22,9.033,"NTP"
11524,"07499407",1,0.885838,132.252,0.6166,3.17,84.07,10.48,"AFP"
11525,"07499407",2,0.885796,131.646,0.9,2.924,62.3,5.441,"AFP"
11526,"07499407",3,0.885838,131.957,0.1,3,322.1,-1,"AFP"
11527,"07499571",1,533.655,375.235,0.0007094,9.301,518,7.45,"UNK"
11528,"07500268",1,427.659,298.608,0.0009551,15.31,173.4,6.051,"UNK"
11529,"07529180",1,640.656,161.69,0.1315,12.41,143.7,3.713,"UNK"
11530,"07529266",1,8.60015,134.642,0.4651,9.014,4521,998.1,"PC"
11531,"07530196",1,459.246,260.378,0.6587,3.154,653.5,3.794,"NTP"
11532,"07530366",1,0.525557,131.889,0.2054,1.343,3.693,16.81,"UNK"
11533,"08621026",1,4.05943,133.189,0.2204,5.234,244300,12460,"UNK"
11534,"08621348",1,11.3445,138.805,0.2074,3.872,540.7,51.86,"AFP"
11535,"08621348",2,11.3442,132.557,0.9033,2.457,205.1,16.78,"AFP"
11536,"08621353",1,11.3443,138.812,0.7373,6.14,255800,481.7,"AFP"
11537,"08644288",2,7.64156,135.409,0.173,3.433,2272,362.8,"PC"
11538,"08644288",3,3.50472,133.509,0.3064,2.064,297,60.46,"PC"
11539,"08644365",1,19.9159,139.371,0.6603,5.909,141.2,23.94,"PC"
11540,"08644365",2,10.5484,139.06,0.3281,1.418,94.13,11.8,"PC"
11541,"08653563",1,1.1037,131.767,0.468,3.749,117,12.56,"AFP"
11542,"08653563",2,1.10382,132.187,0.9828,2.15,211.4,23.41,"AFP"
11543,"08653675",1,1.75721,132.64,0.7031,5.614,41.89,11.68,"AFP"
11544,"08692861",2,242.469,150.858,0.7658,13.15,337.8,19.01,"PC"
11545,"08692983",1,2.49344,132.504,0.6932,7.325,26.66,9.006,"UNK"
11546,"08693536",1,16.2348,139.972,0.3285,4.17,107.7,8.464,"UNK"
11547,"08711555",1,3.42152,134.472,0.04497,10.15,18.09,7.08,"NTP"
11548,"08711794",1,8.98101,136.65,0.5003,1.864,1067,192.2,"PC"
11549,"08711908",1,1.13908,132.6,0.7457,3.072,11.08,7.317,"UNK"
11550,"08745553",1,62.1348,154.045,0.6485,10.58,157.3,10.32,"PC"
11551,"08745924",1,3.187,132.064,0.9943,3.807,35.88,7.776,"AFP"
